1012
1	1
2	13
3	12
4	6
5	1
6	0
7	9
8	5
9	6
10	5
11	7
12	1
13	7
14	6
15	11
16	8
17	13
18	2
19	11
20	6
21	3
22	10
23	10
24	2
25	14
26	8
27	4
28	13
29	10
30	10
31	5
32	6
33	7
34	11
35	8
36	1
37	13
38	5
39	1
40	5
41	3
42	0
43	2
44	1
45	3
46	16
47	8
48	4
49	4
50	10
51	11
52	8
53	13
54	7
55	9
56	4
57	6
58	3
59	3
60	10
61	7
62	0
63	9
64	3
65	0
66	14
67	8
68	6
69	10
70	1
71	10
72	13
73	8
74	12
76	11
77	1
78	5
79	6
80	5
81	9
82	5
83	14
84	0
85	1
86	2
87	4
88	7
89	8
90	0
91	2
92	2
93	3
94	4
95	6
96	8
97	11
98	7
99	12
100	4
101	11
102	5
103	10
104	12
105	11
106	6
107	10
108	5
109	11
110	15
111	6
112	10
113	12
114	12
115	15
116	3
117	11
118	6
119	7
120	3
121	10
122	8
123	11
124	5
125	1
126	9
127	4
128	2
129	7
130	0
131	2
132	1
133	1
134	10
135	7
136	12
137	9
138	3
139	15
140	0
141	3
142	3
143	1
144	2
145	12
146	2
147	0
148	12
149	11
150	11
151	9
152	1
153	7
154	1
155	0
156	12
157	14
158	11
159	5
160	1
161	3
162	2
163	3
164	11
165	0
166	6
167	9
168	6
169	5
170	10
171	8
172	7
173	3
174	6
175	3
176	12
177	8
178	8
179	15
180	2
181	2
182	4
183	2
184	11
185	1
186	7
187	12
188	5
189	3
190	4
191	12
192	3
193	12
194	6
195	9
196	7
197	1
198	11
199	1
200	0
201	0
202	9
203	7
204	1
205	3
206	11
207	3
208	3
209	2
210	11
211	14
212	6
213	3
214	4
215	1
216	3
217	1
218	3
219	1
220	2
221	2
222	3
223	1
224	3
225	1
227	2
228	11
229	0
230	10
231	8
232	12
233	16
234	0
235	10
236	9
237	14
238	10
239	12
240	11
241	12
242	8
243	3
244	8
245	13
246	2
247	7
248	12
249	16
250	12
251	11
252	11
253	8
254	6
255	1
256	1
257	5
258	0
259	0
260	10
261	4
262	3
263	9
264	4
265	4
266	6
267	7
268	13
269	8
270	12
271	10
272	7
273	12
274	15
275	16
276	8
277	3
278	12
279	10
280	0
281	0
282	1
283	2
284	6
285	10
286	3
288	4
289	7
290	3
291	4
292	10
294	9
295	2
296	3
297	3
298	4
299	7
300	4
301	6
302	3
303	7
304	8
305	9
306	5
307	4
308	7
309	12
310	7
311	5
312	6
313	5
314	5
315	3
316	6
317	1
318	7
319	1
320	0
321	3
322	3
323	3
324	0
325	9
326	3
327	6
328	7
329	3
330	5
331	5
332	1
333	1
334	9
335	1
336	6
337	9
338	9
339	7
340	13
341	10
342	3
343	0
344	13
345	2
346	5
347	11
348	13
349	12
350	13
351	8
352	9
353	12
354	12
355	10
356	9
357	3
358	5
359	4
360	7
361	3
362	12
363	18
364	0
365	1
366	13
367	9
368	11
369	12
370	11
371	10
372	7
373	11
374	12
375	1
376	5
377	14
378	8
379	15
380	4
381	13
382	2
383	1
384	7
385	2
386	12
387	3
388	3
389	1
390	6
391	9
392	5
393	7
394	8
395	10
396	3
397	2
398	0
399	2
400	11
401	11
402	11
403	1
404	0
405	2
406	1
407	1
408	3
409	3
410	7
411	15
412	9
413	11
414	11
415	1
416	3
417	5
418	5
419	0
420	2
421	2
422	4
423	5
424	7
425	8
426	11
427	12
428	14
429	4
430	7
431	7
432	5
433	9
434	0
435	1
436	1
437	4
438	13
439	8
440	4
441	3
442	3
443	1
444	1
445	11
446	1
447	13
448	9
449	13
450	11
451	6
452	14
453	2
454	9
455	7
456	8
457	0
458	3
459	10
460	13
461	11
462	6
463	7
464	0
465	0
466	5
467	3
468	2
469	11
470	7
471	10
472	8
473	2
474	4
475	7
476	7
477	11
478	13
479	10
480	4
481	2
482	3
483	2
484	1
485	2
486	2
487	4
488	9
489	5
490	7
491	9
492	5
493	6
494	9
495	9
496	6
497	5
498	3
499	5
500	11
501	11
502	10
503	13
504	1
505	6
506	10
507	12
508	2
509	3
510	8
511	5
512	8
513	9
514	12
515	2
516	1
517	1
518	3
519	10
520	7
521	11
522	3
523	2
524	1
525	9
526	1
527	6
528	1
529	13
530	12
531	12
532	0
534	10
535	2
536	5
537	2
538	11
539	13
540	1
541	3
542	4
543	3
544	9
545	3
546	0
547	16
548	0
549	2
550	3
551	3
552	1
553	2
554	1
555	1
556	1
557	2
558	4
559	4
560	9
561	10
562	12
563	8
564	4
565	7
566	2
567	3
568	2
569	12
570	0
571	9
572	3
573	10
574	17
575	3
576	10
577	1
578	8
579	5
580	6
581	8
582	3
583	1
584	7
585	11
586	9
587	11
588	2
589	4
590	9
591	12
592	14
593	11
594	2
595	4
596	1
597	13
598	7
599	5
600	5
601	0
602	10
603	1
604	3
605	6
606	13
607	8
608	7
609	4
610	13
611	7
612	1
613	10
614	9
615	2
616	11
617	3
618	3
619	2
620	3
621	15
622	2
623	13
624	1
625	1
626	1
627	0
628	1
629	3
630	0
631	1
632	2
633	1
634	4
635	4
636	4
637	5
638	7
639	5
640	7
641	0
642	5
643	9
644	10
645	3
646	6
647	1
648	2
649	13
650	1
651	8
652	6
653	8
654	4
655	2
656	8
657	5
658	4
659	7
660	10
661	11
662	9
663	15
664	5
665	5
666	7
667	7
668	4
669	5
670	9
671	10
672	11
673	11
674	7
675	12
676	13
677	1
678	3
679	3
680	1
681	1
682	1
683	5
684	1
685	12
686	5
687	4
688	3
689	4
690	4
691	9
692	11
693	8
694	12
695	9
696	7
697	0
698	0
699	11
700	6
701	15
702	6
703	3
704	2
705	10
706	12
707	3
708	15
709	7
710	9
711	13
712	8
713	14
714	11
715	2
716	5
717	3
718	1
719	7
720	10
721	2
722	10
723	8
724	1
725	6
726	2
727	6
728	1
729	8
730	10
731	6
732	11
733	11
734	14
735	12
736	2
737	8
738	13
739	3
740	5
741	4
742	6
743	4
744	3
745	10
746	2
747	2
748	9
749	11
750	1
751	3
752	2
753	3
754	16
755	12
756	3
757	1
758	1
759	3
760	12
761	3
762	5
763	10
764	10
765	16
766	12
767	8
768	3
769	3
770	5
771	11
772	7
773	0
774	3
775	6
776	10
777	5
778	1
779	4
780	2
781	13
782	2
783	9
784	3
785	14
786	7
787	11
788	9
789	5
790	7
791	3
792	12
793	5
794	1
795	11
796	2
797	3
798	1
799	10
800	2
801	7
802	0
803	13
804	6
805	9
806	14
807	3
808	10
809	10
810	11
811	10
812	12
813	9
814	2
815	6
816	6
817	8
818	1
819	1
820	5
821	8
822	3
823	0
824	0
825	7
826	6
827	7
828	7
829	5
830	10
831	10
832	12
833	3
834	6
835	11
836	2
837	1
838	7
839	11
840	5
841	8
842	6
843	8
844	3
845	8
846	1
847	15
848	4
849	3
850	2
851	1
852	11
853	12
854	13
855	14
856	2
857	12
858	10
859	3
860	8
861	1
862	3
863	0
864	2
865	1
866	1
867	3
868	16
869	3
870	1
871	2
872	3
873	4
874	1
875	3
876	1
877	5
878	14
879	4
880	6
881	9
882	9
883	8
884	2
885	1
886	12
887	1
888	10
889	5
890	15
891	4
892	2
893	12
894	1
895	2
896	4
897	13
898	9
899	5
900	4
901	9
902	10
903	7
904	8
905	12
906	14
907	2
908	2
909	2
910	1
911	2
912	1
913	10
914	8
915	4
916	5
917	1
918	4
919	10
920	9
921	14
922	10
923	9
924	4
925	5
926	0
927	5
928	10
929	6
930	3
931	10
932	9
933	9
934	10
935	14
936	6
937	11
938	11
939	2
940	9
941	4
942	10
943	9
944	1
945	7
946	5
947	3
948	0
949	12
950	13
951	13
952	11
953	2
955	6
956	11
957	1
958	2
959	3
960	3
961	7
962	6
963	7
964	8
965	0
966	3
967	2
968	1
969	2
970	2
971	2
972	4
973	4
974	4
975	3
976	0
977	2
978	4
979	2
980	7
981	1
982	1
983	0
984	0
985	1
986	1
987	3
988	5
989	8
990	9
991	12
992	11
993	2
994	10
995	6
996	3
997	12
998	4
999	16
1000	6
1001	11
1002	6
1003	12
1004	4
1005	1
1006	10
1007	5
1008	3
1009	1
1010	3
1011	0
1012	3
1013	1
1014	13
1015	2
1016	12
1017	2
1018	10
